measurement,average_power
8,84.12756736960968
8,84.00256355479598
8,83.00253303628652
8,83.00253303628652
8,377.63652455214094
8,225.7568895535142
8,238.63228247932372
8,238.63228247932372
8,237.63225196081424
8,220.00671407208475
8,234.25714896084477
8,234.25714896084477
8,237.00723288674584
8,220.63173314615318
8,234.1321451460311
8,236.3822138126774
8,236.3822138126774
8,222.25678273873106
8,234.1321451460311
8,232.00708029419846
8,232.00708029419846
8,236.3822138126774
8,219.50669881283
8,234.88216803491318
8,234.88216803491318
8,237.00723288674584
8,220.75673696096683
8,234.25714896084477
8,234.25714896084477
8,237.00723288674584
8,221.38175603503527
8,260.1329386272775
8,235.75719473860897
8,235.75719473860897
8,222.25678273873106
8,218.88167973876156
8,234.88216803491318
8,234.88216803491318
8,237.00723288674584
8,220.75673696096683
8,234.75716422009953
8,234.75716422009953
8,237.00723288674584
8,220.13171788689843
8,233.63212988677634
8,236.3822138126774
8,236.3822138126774
8,221.38175603503527
8,384.26172673726614
8,234.88216803491318
8,234.88216803491318
8,235.75719473860897
8,219.38169499801631
8,233.63212988677634
8,233.63212988677634
8,236.50721762749112
8,232.00708029419846
8,233.13211462752162
8,233.13211462752162
8,236.3822138126774
8,221.25675222022159
8,233.50712607196266
8,235.13217566454057
8,235.13217566454057
8,222.25678273873106
8,229.75701162755215
8,234.75716422009953
8,234.75716422009953
8,235.13217566454057
8,221.63176366466263
8,238.0072634052553
8,238.0072634052553
8,232.50709555345318
8,228.38196966460163
8,233.50712607196266
8,233.50712607196266
8,236.50721762749112
8,221.7567674794763
8,233.13211462752162
8,234.75716422009953
8,234.75716422009953
8,222.8818018127995
8,232.88210699789425
8,233.63212988677634
8,233.63212988677634
8,235.88219855342268
8,220.13171788689843
8,234.1321451460311
8,234.1321451460311
8,369.01126132999667
8,226.7569200720237
8,233.50712607196266
8,235.75719473860897
8,235.75719473860897
8,222.38178655354474
8,233.13211462752162
8,235.38218329416793
8,235.38218329416793
8,236.3822138126774
8,220.13171788689843
8,234.25714896084477
8,234.25714896084477
8,236.3822138126774
8,221.25675222022159
8,233.63212988677634
8,233.63212988677634
8,235.88219855342268
8,221.7567674794763
8,233.63212988677634
8,235.38218329416793
8,235.38218329416793
8,221.7567674794763
8,219.50669881283
8,234.88216803491318
8,234.88216803491318
8,236.50721762749112
8,220.00671407208475
8,233.63212988677634
8,233.63212988677634
8,237.00723288674584
8,221.38175603503527
8,233.50712607196266
8,235.88219855342268
8,235.88219855342268
8,223.5068208868679
8,233.50712607196266
8,234.88216803491318
8,234.88216803491318
8,227.5069429609058
8,220.00671407208475
8,234.1321451460311
8,234.1321451460311
8,236.3822138126774
8,220.75673696096683
8,233.63212988677634
8,233.63212988677634
8,236.3822138126774
8,221.38175603503527
8,233.63212988677634
8,235.38218329416793
8,235.38218329416793
8,222.38178655354474
8,294.1339762565996
8,235.5071871089816
8,235.5071871089816
8,236.3822138126774
8,220.13171788689843
8,234.1321451460311
8,234.1321451460311
8,236.3822138126774
8,220.75673696096683
8,232.50709555345318
8,235.88219855342268
8,235.88219855342268
8,221.25675222022159
8,233.63212988677634
8,235.5071871089816
8,235.5071871089816
8,235.88219855342268
8,219.50669881283
8,237.13223670155952
8,237.13223670155952
8,246.63252662739953
8,220.13171788689843
8,234.1321451460311
8,234.1321451460311
8,236.3822138126774
8,221.7567674794763
8,232.63209936826686
8,235.38218329416793
8,235.38218329416793
8,222.25678273873106
8,233.63212988677634
8,235.5071871089816
8,235.5071871089816
8,236.50721762749112
8,220.75673696096683
8,234.75716422009953
8,234.75716422009953
8,235.75719473860897
8,233.50712607196266
8,233.13211462752162
8,246.00750755333112
8,246.00750755333112
8,221.38175603503527
8,237.13223670155952
8,235.13217566454057
8,235.13217566454057
8,231.88207647938478
8,221.38175603503527
8,237.63225196081424
8,237.63225196081424
8,235.75719473860897
8,225.2568742942595
8,233.63212988677634
8,233.63212988677634
8,235.88219855342268
8,221.25675222022159
8,246.63252662739953
8,239.88232062746056
8,239.88232062746056
8,229.75701162755215
8,233.50712607196266
8,235.38218329416793
8,235.38218329416793
8,227.5069429609058
8,219.50669881283
8,234.25714896084477
8,234.25714896084477
8,237.00723288674584
8,220.75673696096683
8,234.88216803491318
8,234.88216803491318
8,235.75719473860897
8,221.7567674794763
8,232.63209936826686
8,234.75716422009953
8,234.75716422009953
8,222.25678273873106
8,233.50712607196266
8,234.88216803491318
8,234.88216803491318
8,235.88219855342268
8,235.13217566454057
8,234.75716422009953
8,234.75716422009953
8,235.38218329416793
8,226.7569200720237
8,246.00750755333112
8,235.88219855342268
8,235.88219855342268
8,245.3824884792627
8,242.1323892941069
8,262.75801873836485
8,262.75801873836485
8,222.25678273873106
8,220.00671407208475
8,234.75716422009953
8,234.75716422009953
8,248.63258766441848
8,220.00671407208475
8,238.132267220069
8,238.132267220069
8,235.75719473860897
